numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
4,o,0.197978375316743,0.545590160692516,186.244572028243,197.368944789886,182.357746759106,434.479969709756,947.34783317197,2907.29619052865,59.7780562708474,60.6469643422207,subj2,27-2,no,S,NA,NA,NA,NA,NA
2,ɐ,0.0883659733859256,0.296216937204198,197.428963362345,204.82407182591,187.70941976857,484.328004626353,2208.21928808555,3001.50791781221,59.5930782492143,60.2302906917047,subj2,28-1,first,R,NA,NA,NA,NA,NA
4,a,0.18050366514808,0.577209956233223,217.409812616211,232.423019583355,205.864950913755,825.749671210962,1592.36522646487,2373.49615817325,57.6306309337919,59.360692951306,subj2,28-1,no,S,NA,NA,NA,NA,NA
6,ə,0.125005523326431,0.818869340767294,219.312138942445,225.853504700918,201.690148998691,837.163128518745,1640.29010157179,2793.24644489037,57.3106391153342,58.4901750731101,subj2,28-1,second,F,NA,NA,NA,NA,NA
2,ə,0.0538952190231108,0.295521706499111,212.039929820578,214.21843904208,207.664767340752,513.954931215171,2120.13466390994,3226.6999934831,59.8525564014118,60.1652909748863,subj2,28-2,second,O,NA,NA,NA,NA,NA
4,ɪ,0.0880541606574768,0.502373075284994,218.640121189312,231.180390533475,205.88915803976,625.602585690637,1567.61743408346,3636.74390148001,60.541116462713,61.0313500897783,subj2,28-2,first,R,NA,NA,NA,NA,NA
6,a,0.20874908776557,0.728960721459622,186.281912278983,192.289561608702,180.998066585151,861.162879610455,1632.81325520989,2831.07686491399,59.2529847972979,60.0036184576433,subj2,28-2,no,S,NA,NA,NA,NA,NA
2,a,0.165533074112472,0.314153514199583,214.193867935903,225.236131514849,206.38585068026,816.947852529055,1595.44533378897,2607.03341392454,62.5643783512149,63.2157749631267,subj2,29-1,no,S,NA,NA,NA,NA,NA
4,ə,0.0794070097218498,0.479381176736202,225.589241580173,226.739064256343,219.719639263719,540.630461998178,1647.00217735942,1891.54787916338,60.5970602659055,60.7705039514863,subj2,29-1,second,T,NA,NA,NA,NA,NA
2,ɐ,0.121952119508565,0.259501370592569,224.271018962778,226.135081965437,210.034118627315,780.129785341237,1649.72285554591,2552.56707465265,62.0049356118553,62.1608963885445,subj2,29-2,first,R,NA,NA,NA,NA,NA
